CO_FRAC_RA,Paraguay,Bolivia,Brasil,Peru,Colombia
12_19_12,6,0,0,7,0
12_19_13,5,5,0,5,3
12_19_2,10,0,1,0,2
12_19_3,7,0,0,6,3
12_19_4,8,8,1,23,0
12_19_5,7,5,2,2,0
12_19_6,16,0,0,11,0
12_19_7,8,2,4,1,0
12_19_8,10,0,1,36,0
12_19_9,3,2,3,7,1
12_2_1,20,4,3,12,6
12_2_2,5,2,3,3,2
12_2_3,5,1,1,10,1
12_2_4,12,0,2,8,0
12_2_5,6,2,0,4,0
12_2_6,6,0,4,4,0
12_2_7,13,1,1,1,3
12_2_8,21,1,3,6,1
12_20_1,8,2,4,9,0
12_20_2,8,4,2,3,0
12_20_3,13,0,2,16,0
12_20_4,18,7,0,2,0
12_20_5,9,6,0,4,0
12_20_6,17,4,4,12,0
12_20_7,5,0,0,4,0
12_20_8,15,6,1,19,0
12_21_1,9,3,0,7,0
12_21_10,3,0,0,1,0
12_21_2,4,0,0,10,0
12_21_3,9,1,0,20,2
12_21_4,6,0,1,1,0
12_21_5,3,1,1,0,0
12_21_6,5,5,1,1,1
12_21_7,14,0,1,5,0
12_21_8,2,3,4,3,0
12_21_9,7,4,1,10,0
12_22_1,3,7,4,9,0
12_22_10,2,0,3,7,2
12_22_11,10,1,2,2,3
12_22_2,17,0,0,3,0
12_22_3,6,0,0,4,1
12_22_4,8,4,0,5,1
12_22_5,7,1,0,5,0
12_22_6,8,1,2,4,1
12_22_7,22,4,0,2,0
12_22_8,2,2,0,1,0
12_22_9,7,1,1,3,0
12_3_1,3,0,1,0,1
12_3_10,10,5,3,14,0
12_3_11,5,1,0,14,0
12_3_2,26,1,1,8,0
12_3_3,10,1,5,10,0
12_3_4,4,0,5,2,0
12_3_5,24,0,3,7,0
12_3_6,37,15,0,103,0
12_3_7,9,0,0,22,0
12_3_8,2,2,2,22,0
12_3_9,8,1,2,5,0
12_4_1,8,4,0,0,0
12_4_10,11,0,0,5,0
12_4_2,8,2,0,2,0
12_4_3,7,1,5,3,1
12_4_4,5,0,3,5,0
12_4_5,6,0,1,0,0
12_4_6,4,7,2,2,2
12_4_7,17,1,0,6,0
12_4_8,3,0,2,8,0
12_4_9,4,3,2,4,2
12_5_1,2,0,2,12,2
12_5_10,1,4,3,13,0
12_5_11,7,1,4,16,2
12_5_2,10,1,6,6,2
12_5_3,6,0,2,10,4
12_5_4,6,1,0,3,2
12_5_5,4,0,1,3,1
12_5_6,3,0,1,20,5
12_5_7,5,2,6,25,2
12_5_8,7,5,7,10,1
12_5_9,5,3,2,26,3
12_6_1,4,0,2,15,0
12_6_10,7,0,0,11,0
12_6_2,4,0,2,9,0
12_6_3,5,0,0,13,1
12_6_4,16,0,1,2,3
12_6_5,8,3,5,11,6
12_6_6,12,1,1,8,0
12_6_7,6,1,1,7,1
12_6_8,6,2,0,1,1
12_6_9,8,1,0,8,0
12_7_1,8,0,2,10,1
12_7_10,23,5,6,4,1
12_7_2,6,3,1,2,2
12_7_3,4,2,2,3,1
12_7_4,8,3,3,8,1
12_7_5,10,2,1,14,0
12_7_6,15,4,2,13,0
12_7_7,19,1,3,5,0
12_7_8,14,2,2,3,0
12_7_9,12,1,4,11,5
12_8_1,13,0,0,0,0
12_8_10,4,0,2,0,1
12_8_11,3,0,1,2,1
12_8_2,7,0,0,7,1
12_8_3,9,0,1,3,1
12_8_4,3,0,1,5,0
12_8_5,3,0,3,8,8
12_8_6,5,1,0,8,1
12_8_7,3,7,5,11,4
12_8_8,4,1,3,12,6
12_8_9,6,0,1,2,3
12_9_1,7,12,1,6,0
12_9_2,15,2,0,3,0
12_9_3,10,3,0,15,0
12_9_4,8,3,0,4,0
12_9_5,9,0,0,6,0
12_9_6,9,2,4,10,1
12_9_7,9,2,2,3,0
13_1_1,16,1,6,1,0
13_1_10,2,1,2,6,1
13_1_11,10,0,4,2,5
13_1_12,7,2,1,2,8
13_1_13,4,2,1,7,2
13_1_14,10,0,0,1,1
13_1_2,4,1,3,0,0
13_1_3,7,3,2,4,0
13_1_4,5,2,3,16,0
13_1_5,1,3,3,7,3
13_1_6,11,1,4,4,3
13_1_7,7,0,3,0,4
13_1_8,1,0,1,1,1
13_1_9,4,2,0,0,1
13_10_1,7,3,4,15,5
13_10_10,16,2,8,63,2
13_10_11,4,1,2,10,19
13_10_2,9,3,9,2,0
13_10_3,10,4,0,13,8
13_10_4,11,7,7,5,7
13_10_5,13,8,3,36,3
13_10_6,8,1,3,4,9
13_10_7,7,1,1,6,3
13_10_8,11,0,2,5,10
13_10_9,8,0,4,5,4
13_11_1,5,1,3,5,4
13_11_2,10,2,0,1,6
13_11_3,4,0,1,3,2
13_11_4,4,1,1,5,7
13_11_5,4,0,1,6,3
13_11_6,22,6,8,6,5
13_11_7,16,15,1,18,4
13_12_1,6,1,1,8,10
13_12_10,8,1,4,2,0
13_12_2,8,6,8,2,2
13_12_3,7,3,0,5,0
13_12_4,14,1,4,4,2
13_12_5,25,2,8,7,0
13_12_6,13,1,1,3,3
13_12_7,15,2,2,3,9
13_12_8,4,3,0,7,7
13_12_9,10,1,7,22,0
13_13_1,33,3,7,5,0
13_13_10,13,2,9,6,2
13_13_11,13,0,3,6,2
13_13_12,22,3,3,11,2
13_13_13,10,2,5,7,5
13_13_14,2,0,5,4,4
13_13_2,3,3,3,24,1
13_13_3,7,3,0,15,0
13_13_4,1,2,3,7,10
13_13_5,10,4,5,6,9
13_13_6,0,0,1,0,4
13_13_7,1,3,2,9,16
13_13_8,17,0,3,2,0
13_13_9,16,1,6,4,3
13_14_1,6,1,1,8,6
13_14_10,15,0,4,5,2
13_14_11,20,2,10,7,2
13_14_2,3,0,2,4,0
13_14_3,10,1,3,8,8
13_14_4,17,1,4,5,2
13_14_5,15,0,6,10,3
13_14_6,14,1,2,14,0
13_14_7,1,1,2,1,0
13_14_8,6,4,1,7,1
13_14_9,3,1,6,8,4
13_15_1,9,3,1,10,1
13_15_10,5,3,1,6,3
13_15_11,9,3,4,43,2
13_15_12,5,1,0,5,5
13_15_2,7,3,3,1,2
13_15_3,15,1,1,5,0
13_15_4,7,0,1,4,4
13_15_5,10,2,6,5,5
13_15_6,4,0,1,1,5
13_15_7,6,1,2,6,1
13_15_8,5,1,1,4,2
13_15_9,12,2,5,13,1
13_16_1,17,1,9,6,0
13_16_10,8,2,3,5,1
13_16_11,13,2,2,6,2
13_16_12,16,1,1,32,2
13_16_13,6,0,2,3,2
13_16_2,2,6,2,11,3
13_16_3,6,0,1,2,9
13_16_4,5,2,6,9,1
13_16_5,4,0,1,20,0
13_16_6,9,5,0,5,3
13_16_7,9,1,2,6,1
13_16_8,0,0,2,1,2
13_16_9,3,1,2,7,2
13_17_1,21,7,2,8,2
13_17_10,10,4,6,9,3
13_17_11,5,1,2,1,0
13_17_2,29,7,2,11,2
13_17_3,10,0,1,0,2
13_17_4,4,1,1,5,3
13_17_5,5,2,2,2,1
13_17_6,6,1,2,1,2
13_17_7,14,0,6,4,1
13_17_8,4,0,1,0,0
13_17_9,15,1,6,4,2
13_18_1,9,0,5,10,6
13_18_10,29,3,2,6,4
13_18_2,12,1,1,21,10
13_18_3,10,1,3,8,3
13_18_4,16,1,2,4,1
13_18_5,10,3,2,4,2
13_18_6,11,1,0,2,0
13_18_7,8,1,2,9,2
13_18_8,18,3,3,2,0
13_18_9,7,2,3,0,0
13_19_1,3,4,1,29,1
13_19_10,8,1,1,3,0
13_19_11,8,0,1,4,5
13_19_12,8,4,4,3,2
13_19_2,14,1,3,2,0
13_19_3,6,1,2,1,5
13_19_4,5,1,0,4,1
13_19_5,5,5,0,4,3
13_19_6,0,2,0,2,4
13_19_7,10,1,1,7,3
13_19_8,10,0,3,1,4
13_19_9,15,1,1,5,5
13_2_1,12,1,2,40,3
13_2_10,11,0,3,14,3
13_2_11,4,0,2,1,1
13_2_2,14,0,3,4,0
13_2_3,11,0,0,3,2
13_2_4,7,0,0,1,1
13_2_5,6,1,2,7,0
13_2_6,14,0,2,3,1
13_2_7,5,0,1,1,1
13_2_8,5,1,1,9,0
13_2_9,9,0,3,2,2
13_20_1,6,2,2,1,2
13_20_10,4,2,1,11,0
13_20_11,8,1,0,4,5
13_20_12,9,0,5,3,4
13_20_2,6,1,5,6,0
13_20_3,0,3,2,2,0
13_20_4,7,3,5,2,1
13_20_5,3,0,3,5,4
13_20_6,4,5,3,10,1
13_20_7,8,0,1,3,3
13_20_8,1,1,8,8,2
13_20_9,5,0,2,6,4
13_21_1,18,1,0,4,4
13_21_10,15,4,2,10,0
13_21_2,3,0,1,6,0
13_21_3,6,0,11,4,4
13_21_4,16,0,6,0,0
13_21_5,25,2,10,4,0
13_21_6,13,1,3,5,1
13_21_7,14,10,6,5,7
13_21_8,11,1,5,3,4
13_21_9,10,3,6,4,3
13_22_1,10,6,1,3,1
13_22_2,3,0,4,2,1
13_22_3,5,0,4,0,3
13_22_4,25,4,10,6,2
13_22_5,41,0,4,6,1
13_22_6,18,7,4,5,12
13_22_7,23,5,6,3,9
13_22_8,9,2,1,7,7
13_22_9,6,0,3,2,1
13_23_1,16,0,5,8,7
13_23_10,11,0,0,3,1
13_23_11,11,1,3,3,5
13_23_2,8,4,2,0,3
13_23_3,16,2,10,4,6
13_23_4,7,0,2,6,3
13_23_5,5,2,3,2,2
13_23_6,5,1,4,6,19
13_23_7,5,2,1,2,5
13_23_8,13,1,3,5,22
13_23_9,7,1,5,4,11
13_24_1,3,0,3,0,0
13_24_10,16,0,0,0,0
13_24_2,12,0,1,2,4
13_24_3,6,3,1,17,3
13_24_4,3,1,3,2,2
13_24_5,5,1,7,6,2
13_24_6,12,1,1,0,2
13_24_7,7,1,0,12,0
13_24_8,6,0,2,8,1
13_24_9,8,0,5,4,2
13_25_1,5,0,2,9,0
13_25_2,8,0,1,14,7
13_25_3,3,3,1,7,0
13_25_4,6,8,2,4,0
13_25_5,10,0,0,2,1
13_25_6,13,1,2,2,0
13_25_7,25,6,4,5,21
13_25_8,13,4,2,2,2
13_26_1,6,1,1,19,0
13_26_10,9,0,0,6,2
13_26_11,13,2,0,18,9
13_26_2,6,1,4,16,1
13_26_3,10,2,1,4,0
13_26_4,8,1,1,18,3
13_26_5,21,0,1,15,1
13_26_6,4,1,3,24,0
13_26_7,16,0,0,6,1
13_26_8,7,0,1,6,0
13_26_9,8,0,1,2,3
13_27_1,10,0,1,3,3
13_27_2,10,4,0,7,2
13_27_3,11,5,0,13,7
13_27_4,25,3,3,11,9
13_27_5,5,1,1,7,0
13_27_6,17,2,5,15,12
13_27_7,19,1,4,18,15
13_27_8,10,0,1,9,3
13_27_9,13,1,8,7,4
13_28_1,28,8,2,6,3
13_28_10,7,1,6,8,3
13_28_2,5,0,0,4,7
13_28_3,9,4,1,20,2
13_28_4,4,0,2,1,2
13_28_5,4,1,2,3,0
13_28_6,9,0,1,2,7
13_28_7,6,1,1,5,11
13_28_8,15,0,10,6,2
13_28_9,9,1,2,2,1
13_29_1,7,7,0,6,3
13_29_10,6,1,3,2,1
13_29_11,12,1,5,1,3
13_29_2,4,0,1,8,1
13_29_3,5,1,0,3,0
13_29_4,11,0,0,8,2
13_29_5,11,0,3,3,0
13_29_6,6,1,1,6,2
13_29_7,32,0,2,8,2
13_29_8,13,4,8,10,2
13_29_9,5,0,0,2,0
13_3_1,6,0,1,5,3
13_3_10,8,1,5,5,6
13_3_2,2,0,5,4,6
13_3_3,16,3,3,12,8
13_3_4,9,1,7,3,8
13_3_5,5,1,3,3,6
13_3_6,6,0,0,1,0
13_3_7,8,2,0,27,1
13_3_8,3,1,0,2,2
13_3_9,23,4,3,24,1
13_4_1,3,2,2,12,6
13_4_10,3,0,4,5,3
13_4_11,23,3,0,10,0
13_4_12,23,5,2,32,5
13_4_13,7,1,2,10,0
13_4_14,8,2,5,2,6
13_4_2,5,1,3,8,2
13_4_3,7,1,1,4,3
13_4_4,7,1,5,7,2
13_4_5,5,4,1,18,0
13_4_6,5,5,1,10,3
13_4_7,3,1,5,6,2
13_4_8,2,8,2,1,10
13_4_9,8,1,2,22,1
13_5_1,4,3,3,9,0
13_5_2,14,9,2,14,6
13_5_3,12,4,5,5,2
13_5_4,13,1,2,9,3
13_5_5,9,12,2,23,5
13_5_6,5,0,6,9,0
13_5_7,8,1,0,6,6
13_5_8,8,2,2,14,1
13_6_1,2,1,0,0,0
13_6_2,18,4,2,20,0
13_6_3,11,3,5,4,0
13_6_4,6,5,4,11,1
13_6_5,5,2,1,6,8
13_6_6,8,6,3,17,6
13_6_7,5,4,1,96,0
13_6_8,10,1,0,20,0
13_7_1,10,2,3,1,0
13_7_2,3,2,0,6,0
13_7_3,17,1,6,12,3
13_7_4,8,1,2,3,2
13_7_5,9,4,2,9,7
13_7_6,4,2,2,5,1
13_7_7,2,0,3,1,4
13_7_8,6,0,5,1,4
13_7_9,11,5,0,1,5
13_8_1,5,0,0,1,8
13_8_10,12,1,7,6,3
13_8_2,11,1,4,7,3
13_8_3,7,2,0,2,3
13_8_4,7,5,2,16,2
13_8_5,11,1,2,6,4
13_8_6,4,0,2,6,1
13_8_7,8,0,2,2,3
13_8_8,17,4,7,6,4
13_8_9,10,0,7,3,1
13_9_1,3,2,1,6,1
13_9_10,6,1,2,10,1
13_9_2,7,0,5,6,1
13_9_3,5,0,6,2,6
13_9_4,4,0,0,28,2
13_9_5,11,1,17,3,7
13_9_6,10,0,0,7,1
13_9_7,6,0,2,1,10
13_9_8,9,0,5,1,0
13_9_9,11,4,6,4,2
14_1_1,10,0,2,0,3
14_1_10,14,6,12,7,2
14_1_2,12,0,2,54,6
14_1_3,24,0,4,3,7
14_1_4,12,1,6,2,9
14_1_5,19,1,2,17,8
14_1_6,11,2,4,7,2
14_1_7,5,5,11,8,5
14_1_8,28,3,6,9,0
14_1_9,18,1,10,2,3
14_10_1,0,1,1,0,0
14_11_1,8,1,3,3,14
14_11_10,4,6,2,5,12
14_11_11,10,0,0,1,9
14_11_12,16,1,18,4,16
14_11_13,15,2,10,1,12
14_11_14,12,4,5,7,3
14_11_2,20,2,3,3,4
14_11_3,9,2,0,8,5
14_11_4,34,1,5,3,1
14_11_5,19,1,8,3,7
14_11_6,14,5,11,10,1
14_11_7,9,1,7,7,14
14_11_8,16,4,5,6,20
14_11_9,12,3,7,16,19
14_12_1,4,3,0,9,0
14_12_10,5,12,7,2,13
14_12_11,10,1,8,9,2
14_12_2,17,9,4,33,4
14_12_3,8,2,4,4,2
14_12_4,32,1,3,17,1
14_12_5,7,6,5,10,8
14_12_6,10,0,1,12,5
14_12_7,3,2,1,3,6
14_12_8,2,1,3,2,6
14_12_9,7,2,9,7,3
14_13_1,40,10,4,69,1
14_13_10,6,0,1,34,5
14_13_11,12,3,5,7,20
14_13_12,6,7,13,3,6
14_13_2,7,5,4,14,6
14_13_3,13,3,5,3,4
14_13_4,8,0,3,12,0
14_13_5,16,4,1,11,2
14_13_6,8,2,0,4,1
14_13_7,2,0,7,1,2
14_13_8,12,1,2,10,6
14_13_9,7,2,6,23,2
14_14_1,8,2,13,6,16
14_14_10,7,0,2,8,6
14_14_11,5,1,0,7,1
14_14_2,6,2,4,1,2
14_14_3,5,0,2,5,21
14_14_4,5,2,0,5,2
14_14_5,3,1,1,12,6
14_14_6,4,3,2,3,6
14_14_7,0,1,0,14,0
14_14_8,10,0,5,3,18
14_14_9,10,11,4,8,8
14_15_1,5,0,12,11,9
14_15_2,11,3,0,8,31
14_15_3,6,1,6,5,5
14_15_4,10,4,6,4,8
14_15_5,14,5,1,18,12
14_15_6,10,4,1,15,17
14_15_7,9,7,2,3,2
14_15_8,14,3,8,16,13
14_16_1,19,8,5,3,12
14_16_2,16,1,1,4,3
14_16_3,13,0,7,12,10
14_16_4,23,2,11,4,4
14_16_5,30,4,6,6,2
14_16_6,8,0,0,3,1
14_16_7,15,1,1,6,3
14_17_1,11,3,4,5,1
14_17_2,29,0,3,6,4
14_17_3,12,3,4,4,1
14_17_4,4,0,2,2,4
14_17_5,20,0,5,4,3
14_17_6,15,5,0,3,6
14_17_7,17,2,4,10,6
14_17_8,13,5,6,5,6
14_18_1,5,1,6,5,0
14_18_2,12,0,3,3,13
14_18_3,18,3,1,5,2
14_18_4,22,4,5,2,7
14_18_5,12,4,7,4,0
14_18_6,4,0,2,3,2
14_18_7,9,3,2,5,7
14_18_8,5,1,0,7,5
14_19_1,11,1,2,4,3
14_19_2,10,9,4,5,16
14_19_3,7,0,6,2,19
14_19_4,11,0,9,7,18
14_19_5,22,6,2,12,9
14_2_1,19,5,6,3,2
14_2_10,16,1,0,4,14
14_2_2,13,1,3,0,4
14_2_3,15,1,2,3,3
14_2_4,13,1,6,8,6
14_2_5,9,2,3,2,4
14_2_6,11,2,3,1,7
14_2_7,11,2,4,9,3
14_2_8,24,0,5,7,1
14_2_9,9,0,3,5,4
14_20_1,13,2,1,4,10
14_20_2,22,4,8,7,7
14_20_3,17,0,2,15,5
14_20_4,17,0,3,10,1
14_20_5,5,4,1,4,10
14_20_6,5,0,5,1,5
14_20_7,8,1,0,2,0
14_21_1,12,2,27,12,16
14_21_10,14,3,3,18,6
14_21_11,4,4,2,9,7
14_21_2,23,1,6,8,0
14_21_3,0,0,0,5,0
14_21_4,2,2,1,5,2
14_21_5,7,1,1,3,1
14_21_6,9,2,0,21,0
14_21_7,5,3,2,98,11
14_21_8,12,2,2,5,10
14_21_9,8,0,5,11,2
14_22_1,8,2,0,6,4
14_22_10,10,2,9,3,4
14_22_2,15,0,2,16,3
14_22_3,5,1,1,0,1
14_22_4,6,4,2,2,2
14_22_5,10,1,4,16,2
14_22_6,12,1,5,3,9
14_22_7,10,2,2,11,4
14_22_8,10,4,3,3,8
14_22_9,17,10,5,19,17
14_23_1,11,0,6,4,3
14_23_10,6,1,3,11,9
14_23_11,18,5,2,10,26
14_23_2,0,1,2,4,8
14_23_3,5,3,3,1,10
14_23_4,7,6,0,1,6
14_23_5,9,2,3,9,24
14_23_6,8,2,0,5,2
14_23_7,11,6,3,4,12
14_23_8,17,5,1,20,14
14_23_9,24,10,4,7,16
14_24_1,7,1,3,11,1
14_24_2,2,1,1,0,0
14_24_3,2,0,1,4,5
14_24_4,5,1,4,12,1
14_24_5,11,0,4,5,3
14_24_6,8,4,1,12,6
14_24_7,2,6,3,1,4
14_24_8,5,3,5,3,5
14_24_9,6,1,1,1,7
14_25_1,8,2,0,7,2
14_25_2,2,4,0,0,1
14_25_3,11,1,0,1,2
14_25_4,7,0,2,2,0
14_25_5,2,5,2,2,7
14_25_6,3,1,6,1,7
14_25_7,19,0,2,3,6
14_25_8,7,2,2,2,2
14_25_9,7,0,1,6,8
14_26_1,9,3,9,5,3
14_26_2,10,4,3,9,23
14_26_3,5,0,0,1,1
14_26_4,13,3,15,3,15
14_26_5,11,0,12,6,3
14_26_6,11,1,4,5,4
14_26_7,21,1,5,10,2
14_27_1,13,1,4,3,5
14_27_2,14,6,1,17,8
14_27_3,4,0,3,0,7
14_27_4,12,0,5,6,2
14_27_5,14,5,1,1,12
14_27_6,4,2,1,3,2
14_27_7,3,0,3,2,1
14_28_1,5,1,3,0,7
14_28_10,6,3,8,7,8
14_28_11,16,0,2,0,0
14_28_12,8,6,1,0,8
14_28_2,8,3,3,6,3
14_28_3,4,2,2,3,3
14_28_4,10,0,1,3,7
14_28_5,6,1,6,1,4
14_28_6,10,2,6,4,4
14_28_7,12,1,3,2,8
14_28_8,7,1,2,5,7
14_28_9,9,0,4,4,4
14_29_1,7,0,4,2,2
14_29_10,11,0,2,3,3
14_29_11,7,1,3,4,3
14_29_2,25,14,3,22,9
14_29_3,6,0,6,1,18
14_29_4,17,4,5,8,5
14_29_5,6,1,4,2,8
14_29_6,4,2,6,12,14
14_29_7,10,4,6,4,14
14_29_8,13,2,4,1,4
14_29_9,12,2,5,7,2
14_3_1,28,3,14,8,14
14_3_10,11,0,4,9,6
14_3_11,8,2,2,3,17
14_3_12,14,1,3,3,5
14_3_2,8,0,4,1,5
14_3_3,5,0,0,3,2
14_3_4,13,1,7,7,16
14_3_5,5,5,1,9,10
14_3_6,3,0,0,0,0
14_3_7,4,5,1,1,3
14_3_8,10,2,3,7,1
14_3_9,13,1,9,0,4
14_30_1,18,5,0,12,6
14_30_2,21,3,3,4,5
14_30_3,15,2,9,9,9
14_30_4,5,0,8,3,9
14_30_5,30,1,7,1,1
14_30_6,10,0,0,1,0
14_30_7,13,0,3,4,8
14_30_8,38,3,13,8,9
14_30_9,24,7,4,10,7
14_31_1,16,4,3,4,3
14_31_10,23,1,3,5,1
14_31_11,7,0,0,2,1
14_31_12,19,1,4,8,2
14_31_2,19,1,6,9,7
14_31_3,20,4,2,6,3
14_31_4,21,1,6,5,4
14_31_5,17,1,3,5,4
14_31_6,20,1,8,10,6
14_31_7,16,1,4,20,2
14_31_8,26,6,3,12,4
14_31_9,26,2,4,5,0
14_4_1,9,5,11,5,14
14_4_10,17,2,5,16,11
14_4_2,14,2,0,1,0
14_4_3,13,3,6,6,1
14_4_4,11,0,2,6,2
14_4_5,14,2,4,4,10
14_4_6,8,5,7,6,2
14_4_7,6,1,8,2,10
14_4_8,6,13,10,14,11
14_4_9,8,7,7,7,14
14_5_1,15,5,3,2,0
14_5_10,6,1,1,6,4
14_5_2,7,0,2,6,2
14_5_3,9,2,0,6,11
14_5_4,8,0,3,0,3
14_5_5,13,3,10,8,8
14_5_6,9,0,1,4,4
14_5_7,18,0,5,3,2
14_5_8,5,0,1,10,6
14_5_9,9,2,3,9,7
14_6_1,13,0,6,6,5
14_6_10,4,0,1,10,0
14_6_2,21,3,5,23,12
14_6_3,27,5,0,12,5
14_6_4,6,2,1,2,6
14_6_5,5,2,5,33,4
14_6_6,16,6,3,6,11
14_6_7,5,2,1,5,2
14_6_8,10,0,0,3,2
14_6_9,8,2,1,2,29
14_7_1,21,1,7,72,1
14_7_2,12,2,6,14,6
14_7_3,16,7,2,3,2
14_7_4,12,0,1,0,4
14_7_5,18,4,10,24,6
14_7_6,11,6,6,1,1
14_7_7,13,7,3,8,3
14_7_8,5,5,9,3,5
14_7_9,6,1,4,20,9
14_8_1,10,2,3,0,9
14_8_2,13,5,0,7,4
14_8_3,6,0,0,9,10
14_8_4,5,2,2,14,6
14_8_5,13,4,6,6,18
14_8_6,10,3,5,7,9
14_8_7,16,8,3,1,9
14_8_8,26,1,7,21,3
14_8_9,19,36,10,11,17
14_9_1,15,7,3,3,12
14_9_10,4,6,5,10,11
14_9_11,6,0,1,5,8
14_9_12,11,4,3,10,9
14_9_13,8,5,3,4,3
14_9_2,2,0,1,2,9
14_9_3,10,1,7,6,4
14_9_4,10,0,2,8,4
14_9_5,5,2,2,1,4
14_9_6,11,0,0,11,1
14_9_7,8,1,0,6,2
14_9_8,13,1,9,5,6
14_9_9,9,1,7,3,5
15_1_1,3,0,0,3,3
15_1_10,5,0,2,1,0
15_1_11,3,0,1,0,0
15_1_12,13,5,2,11,0
15_1_2,7,2,5,2,1
15_1_3,6,1,4,4,0
15_1_4,5,1,0,18,0
15_1_5,9,1,2,3,0
15_1_6,4,2,1,7,0
15_1_7,3,2,1,1,0
15_1_8,2,1,0,7,0
15_1_9,5,0,1,9,1
15_10_1,3,0,2,6,1
15_10_10,13,4,3,37,2
15_10_11,2,3,3,5,2
15_10_12,26,2,2,14,2
15_10_13,11,6,3,13,6
15_10_2,10,3,0,1,4
15_10_3,10,1,3,37,4
15_10_4,12,1,2,14,1
15_10_5,7,0,2,6,0
15_10_6,10,1,2,0,3
15_10_7,17,4,0,3,0
15_10_8,17,1,2,8,3
15_10_9,14,2,0,28,0
15_11_1,10,5,1,8,0
15_11_10,43,3,0,14,0
15_11_11,19,2,2,19,28
15_11_12,14,2,3,11,17
15_11_13,12,1,0,25,0
15_11_2,13,1,4,6,1
15_11_3,8,3,0,9,1
15_11_4,11,1,4,4,8
15_11_5,12,6,1,9,1
15_11_6,15,11,3,20,5
15_11_7,16,7,0,10,0
15_11_8,13,4,1,16,0
15_11_9,24,7,6,21,0
15_12_1,17,18,2,83,0
15_12_2,20,7,2,24,2
15_12_3,15,3,1,66,3
15_12_4,5,2,2,19,1
15_12_5,23,0,0,50,4
15_12_6,10,3,3,26,4
15_12_7,14,0,1,8,1
15_12_8,12,1,0,13,0
15_12_9,14,0,0,28,0
15_13_1,20,1,5,29,6
15_13_10,4,1,2,5,0
15_13_2,3,10,1,7,0
15_13_3,33,0,2,10,2
15_13_4,7,6,2,8,5
15_13_5,6,0,3,7,1
15_13_6,10,11,2,11,1
15_13_7,3,1,1,4,4
15_13_8,3,4,5,0,1
15_13_9,10,0,0,14,8
15_14_1,21,2,4,30,1
15_14_10,27,6,2,13,4
15_14_11,33,10,1,61,5
15_14_2,6,2,3,6,38
15_14_3,11,2,3,9,0
15_14_4,4,2,1,1,1
15_14_5,7,9,5,5,2
15_14_6,5,5,2,16,4
15_14_7,7,2,2,7,5
15_14_8,26,12,1,68,7
15_14_9,39,0,3,14,0
15_15_1,11,3,2,11,0
15_15_10,25,11,2,19,5
15_15_2,17,0,2,10,4
15_15_3,4,2,2,4,2
15_15_4,45,38,4,18,4
15_15_5,34,12,3,16,0
15_15_6,38,14,1,34,0
15_15_7,34,21,6,28,0
15_15_8,17,7,0,17,2
15_15_9,16,4,1,8,7
15_16_1,32,21,0,30,6
15_16_10,27,5,0,2,1
15_16_11,6,0,1,10,0
15_16_2,21,29,0,18,1
15_16_3,13,5,0,8,7
15_16_4,12,3,3,5,0
15_16_5,7,0,0,16,0
15_16_6,2,9,2,10,2
15_16_7,16,6,1,27,0
15_16_8,14,1,2,12,1
15_16_9,6,1,3,5,2
15_17_1,18,2,4,8,2
15_17_10,8,4,5,7,1
15_17_11,27,0,1,5,2
15_17_12,6,7,0,14,1
15_17_2,9,1,2,2,0
15_17_3,7,9,0,5,5
15_17_4,25,0,1,37,0
15_17_5,13,5,5,37,0
15_17_6,9,2,1,7,0
15_17_7,24,4,1,5,0
15_17_8,5,2,0,14,0
15_17_9,13,1,2,24,0
15_18_1,9,6,1,7,2
15_18_10,12,0,0,9,2
15_18_11,3,2,2,3,3
15_18_12,6,3,0,9,5
15_18_13,18,5,3,6,1
15_18_2,9,2,1,14,0
15_18_3,9,1,4,2,0
15_18_4,12,2,0,14,0
15_18_5,4,2,0,11,1
15_18_6,11,6,0,12,0
15_18_7,14,0,0,4,0
15_18_8,9,13,1,1,1
15_18_9,4,0,0,0,0
15_19_1,5,1,0,3,2
15_19_10,7,6,5,13,4
15_19_11,10,1,4,13,0
15_19_2,10,0,4,8,3
15_19_3,5,4,0,7,2
15_19_4,9,0,2,14,6
15_19_5,15,0,0,14,1
15_19_6,7,5,0,10,1
15_19_7,7,0,2,7,0
15_19_8,7,3,3,4,1
15_19_9,5,0,1,0,2
15_2_1,5,2,2,8,0
15_2_10,8,0,1,3,1
15_2_2,10,2,2,3,0
15_2_3,7,0,0,11,0
15_2_4,2,0,0,1,0
15_2_5,4,1,0,0,1
15_2_6,2,0,2,4,1
15_2_7,3,2,7,0,0
15_2_8,1,0,1,0,0
15_2_9,4,3,1,7,0
15_20_1,14,7,1,2,0
15_20_10,16,1,0,11,10
15_20_11,7,3,4,2,1
15_20_12,5,1,1,25,8
15_20_2,22,5,4,2,2
15_20_3,13,6,3,10,3
15_20_4,4,3,2,4,2
15_20_5,9,1,1,14,1
15_20_6,10,8,1,6,4
15_20_7,13,2,6,16,0
15_20_8,11,6,4,0,0
15_20_9,8,18,0,8,6
15_21_1,13,3,0,5,3
15_21_10,3,7,2,17,4
15_21_11,7,3,4,6,3
15_21_12,13,1,0,47,4
15_21_13,15,4,2,28,2
15_21_2,14,5,0,13,2
15_21_3,16,7,1,2,7
15_21_4,8,6,3,2,0
15_21_5,8,2,1,3,1
