CO_FRAC_RA,Paraguay,Bolivia,Brasil,Peru,Colombia
1_26_1,17,5,14,46,9
1_26_2,3,4,5,38,10
1_26_3,2,0,9,10,4
1_26_4,7,4,3,2,7
1_26_5,18,3,8,17,4
1_26_6,5,0,4,6,5
1_26_7,5,0,1,4,0
1_26_8,8,1,1,5,1
1_26_9,9,8,1,20,3
1_27_1,16,6,0,17,0
1_27_10,7,11,0,3,1
1_27_2,74,21,2,85,0
1_27_3,68,4,0,80,1
1_27_4,45,13,8,58,5
1_27_5,33,3,1,5,0
1_27_6,172,16,2,82,0
1_27_7,116,20,1,96,0
1_27_8,58,4,2,27,1
1_27_9,54,9,1,16,0
1_28_1,16,0,2,7,3
1_28_10,49,10,0,85,0
1_28_11,52,3,4,33,2
1_28_12,29,5,1,46,0
1_28_13,21,7,2,20,0
1_28_2,33,3,2,40,3
1_28_3,29,5,2,38,0
1_28_4,51,3,2,28,0
1_28_5,20,4,1,17,0
1_28_6,39,13,2,26,0
1_28_7,41,1,3,31,0
1_28_8,11,1,1,17,1
1_28_9,41,2,2,83,4
1_29_1,47,17,2,102,1
1_29_2,26,10,1,60,0
1_29_3,39,6,0,59,0
1_29_4,32,6,2,59,5
1_29_5,34,14,0,25,3
1_29_6,23,9,0,52,0
1_29_7,21,8,1,26,2
1_29_8,15,2,0,42,0
1_29_9,41,5,2,44,0
1_3_1,306,15,0,7,0
1_3_10,257,158,0,111,0
1_3_11,259,97,2,191,0
1_3_12,212,92,1,82,0
1_3_13,96,127,0,61,0
1_3_14,153,95,0,58,0
1_3_15,334,169,0,105,0
1_3_16,288,96,1,160,0
1_3_17,243,75,0,50,0
1_3_18,332,166,0,79,7
1_3_19,255,155,0,109,0
1_3_2,200,74,19,37,1
1_3_20,163,71,0,46,0
1_3_21,193,25,0,27,0
1_3_22,417,39,0,17,1
1_3_23,452,30,0,29,1
1_3_3,325,26,0,40,0
1_3_4,38,48,0,28,3
1_3_5,356,83,0,96,0
1_3_6,214,270,1,241,0
1_3_7,157,41,1,87,0
1_3_8,92,334,0,101,0
1_3_9,186,273,0,296,0
1_4_1,43,8,13,11,48
1_4_2,26,14,9,10,21
1_4_3,25,7,30,22,6
1_4_4,67,7,18,14,6
1_4_5,33,4,2,3,1
1_4_6,60,9,19,20,1
1_4_7,36,7,4,22,2
1_4_8,25,13,4,11,0
1_5_1,25,2,4,8,0
1_5_2,14,2,5,1,4
1_5_3,5,3,49,6,10
1_5_4,28,2,11,7,11
1_5_5,12,8,7,10,9
1_5_6,13,5,8,17,9
1_5_7,12,0,0,6,7
1_6_1,28,4,10,11,10
