id;nhogar;miembro;comuna;dominio;edad;sexo;parentes_2;p5_2;p6_a;p6_b;estado;categori;t13;t14;t15;t18;t19;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40;t41_cod_2;t47;t48;t49;t50a;t50b;t50c;t50d;t50e;t50f;t51_bis;i1;i4;i6_3;i10;i11;codioph;ioph_2;codioph_neto;ioph_neto_2;codios;ios_2;codioa;ioa_2;codlab;inglab_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;e4;e6;e12;nivel;aesc;m1;m1_2;m2_anio;m3_anio;tipcob2_2;s2;sn4;sn5;sn16;s28;s29;fexp
2095;1;1;11;4;43;1;1;2;0;0;1;3;0;0;0;0;0;1;3;2;0;0.00;0;0;2;8401;6;1;2;3;48333;0;0;2;1;1;1;1;1;2;1;1;0;2;0;0;1;60000;1;60000;0;0;2;0;1;60000;2;0;1;60000;1;65000;16250;2;0;0;13;7;17;6;6;0;2001;5;2;3;7;2;0;0;337
2095;1;2;11;4;40;2;2;2;0;0;1;2;0;0;0;0;0;1;1;2;0;0.00;0;0;2;6900;5;2;1;1;40131;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;5000;1;5000;0;0;2;0;1;5000;2;0;1;5000;1;65000;16250;2;0;0;13;7;17;1;1;0;1;3;2;3;6;2;1;2;337
2095;1;3;11;4;12;2;3;0;1;2;3;0;2;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;65000;16250;1;2;3;0;2;5;1;1;0;1;4;1;3;7;2;0;0;337
2095;1;4;11;4;4;1;3;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;65000;16250;1;2;18;0;1;0;1;1;0;1;4;1;3;6;2;0;0;337
2096;1;1;13;4;43;2;1;6;0;0;2;0;0;0;4;1;2012;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;25000;1;25000;1;25000;12500;2;0;0;13;6;15;1;1;0;1;2;1;1;7;2;1;1;322
2096;1;2;13;4;11;1;3;0;95;1;3;0;2;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;25000;12500;1;1;3;0;2;2;1;1;0;1;2;2;3;7;1;0;0;322
2097;1;1;13;4;43;2;1;3;0;0;1;3;0;0;0;0;0;0;0;0;1;28.00;2;0;2;5300;4;2;2;3;20332;0;0;2;1;1;1;1;1;1;1;1;0;2;0;0;1;25000;1;25000;0;0;2;0;1;25000;1;10000;1;35000;1;35000;17500;2;0;0;13;7;17;1;1;0;1982;3;1;1;6;2;1;1;492
2097;1;2;13;4;11;2;3;0;95;1;3;0;2;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;35000;17500;1;1;3;0;2;5;1;1;0;1;3;2;3;6;1;0;0;492
2098;1;1;4;4;43;2;1;6;0;0;1;3;0;0;0;0;0;0;0;0;1;35.00;2;0;2;8401;6;1;2;4;10332;0;0;2;1;1;1;2;1;1;1;1;0;2;0;0;1;30000;1;30000;0;0;2;0;1;30000;2;0;1;30000;1;37900;12633;2;0;0;13;7;17;1;1;0;1;5;2;1;5;3;1;1;117
2098;1;2;4;4;82;2;6;4;0;0;3;0;2;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;7900;1;7900;1;37900;12633;2;0;0;7;5;12;1;1;0;1;5;2;3;5;3;1;1;117
